loan_id,funded_amount,funded_date,duration years,treasury index,interest rate percent,payments,total past payments,loan balance,property value,purpose
LL0001687,5544000.0,2019-01-20,30,2.79,4.385,27709.81,11,5239192.06,5741300.0,commercial property
LL0001460,5478000.0,2012-06-26,30,1.66,3.255,23855.64,90,3330992.64,5735250.0,investment property
LL0000509,5511000.0,2015-03-16,30,2.1,3.695,25347.5,57,4066192.69,5718600.0,commercial property
LL0000249,5511000.0,2018-09-19,30,3.08,4.675,28496.07,15,5083558.94,5714450.0,investment property
LL0001500,5544000.0,2013-05-27,30,2.01,3.605,25218.0,79,3551777.92,5664500.0,commercial property
LL0001445,5412000.0,2016-03-20,30,1.88,3.475,24226.84,45,4321792.39,5661100.0,investment property
LL0001157,5412000.0,2015-05-08,30,2.16,3.755,25079.17,55,4032645.48,5616950.0,investment property
LL0000971,5478000.0,2012-07-09,30,1.53,3.125,23466.41,89,3389489.75,5614600.0,home
LL0000472,5478000.0,2017-02-01,30,2.4699,4.064,26355.33,35,4555563.32,5591200.0,home
LL0000532,5445000.0,2012-10-14,30,1.69,3.285,23801.7,86,3398053.42,5576750.0,investment property
LL0001108,5412000.0,2016-05-25,30,1.87,3.465,24196.69,43,4371542.51,5537800.0,commercial property
LL0000459,5346000.0,2012-11-03,15,1.75,3.045,37034.31,85,2198084.02,5536750.0,investment property
LL0000284,5445000.0,2018-09-13,30,2.97,4.565,27799.71,15,5028004.39,5528750.0,investment property
LL0001642,5214000.0,2013-07-25,30,2.61,4.205,25512.57,77,3249531.82,5511550.0,commercial property
LL0001191,5478000.0,2019-09-11,30,1.75,3.345,24127.15,3,5405618.54,5483600.0,commercial property
LL0001293,5346000.0,2013-12-20,30,2.89,4.485,27039.77,72,3399136.53,5456150.0,home
LL0001653,5412000.0,2017-09-16,15,2.2023,3.497,38681.47,27,4367600.3,5453850.0,investment property
LL0000078,5313000.0,2013-07-24,30,2.61,4.205,25996.99,77,3311231.8,5430600.0,home
LL0000648,5412000.0,2019-09-14,30,1.9,3.495,24287.2,3,5339138.41,5417450.0,investment property
LL0000823,5181000.0,2016-04-06,30,1.76,3.355,22847.69,44,4175701.83,5369250.0,investment property
LL0000988,5049000.0,2012-12-04,30,1.62,3.215,21876.7,84,3211357.5,5358200.0,investment property
LL0000634,5049000.0,2013-02-27,30,1.91,3.505,22686.36,82,3188718.43,5353950.0,commercial property
LL0000614,5148000.0,2015-11-13,15,2.28,3.575,36992.05,49,3335389.54,5343500.0,home
LL0001328,5181000.0,2014-01-11,30,2.88,4.475,26174.46,71,3322613.25,5290050.0,home
LL0000659,5082000.0,2015-09-08,30,2.2,3.795,23665.49,51,3875060.02,5280800.0,commercial property
LL0000114,5148000.0,2013-01-24,30,1.88,3.475,23045.04,83,3235261.78,5274650.0,investment property
LL0001707,5049000.0,2019-04-26,30,2.51,4.105,24411.33,8,4853709.34,5241500.0,investment property
LL0001272,5049000.0,2012-04-26,30,1.98,3.575,22884.17,92,2943656.0,5189300.0,home
LL0001291,4851000.0,2017-09-11,30,2.1306,3.7260000000000004,22399.73,27,4246207.42,5073100.0,investment property
LL0001178,4917000.0,2012-03-10,30,2.04,3.635,22451.73,93,2828989.43,5059650.0,home
LL0000641,4917000.0,2018-12-10,15,2.85,4.145,36728.77,12,4476254.74,5056350.0,commercial property
LL0001441,4785000.0,2015-08-04,30,2.23,3.825,22364.21,52,3622060.97,5045550.0,home
LL0001574,4785000.0,2016-09-07,30,1.5391,3.134,20521.2,39,3984673.03,5025550.0,investment property
LL0000361,4884000.0,2019-04-20,30,2.57,4.165,23783.93,8,4693728.52,5016800.0,commercial property
LL0000735,4752000.0,2015-07-27,30,2.23,3.825,22209.98,53,3574871.26,5012950.0,home
LL0000383,4851000.0,2017-09-16,30,2.2023,3.7969999999999997,22595.31,27,4240926.7,5012850.0,commercial property
LL0000851,4818000.0,2017-02-02,30,2.4737,4.069,23193.94,34,4029406.11,4991150.0,commercial property
LL0000528,4719000.0,2016-12-13,15,2.4713,3.767,34357.44,36,3482132.15,4954700.0,home
LL0001300,4587000.0,2014-07-20,15,2.5,3.795,33460.19,65,2412087.55,4866550.0,home
LL0001013,4719000.0,2018-08-10,30,2.87,4.465,23812.44,16,4338000.92,4864450.0,commercial property
LL0000588,4719000.0,2018-09-20,30,3.07,4.665,24375.34,15,4353369.84,4862400.0,investment property
LL0000334,4785000.0,2016-09-22,30,1.6183,3.214,20730.2,39,3976522.31,4844800.0,investment property
LL0001114,4560000.0,2014-10-11,15,2.31,3.605,32834.28,62,2524274.73,4835400.0,home
LL0000437,4686000.0,2019-09-23,30,1.72,3.315,20561.31,3,4624316.07,4811000.0,home
LL0000460,4554000.0,2016-08-24,30,1.5611,3.157,19587.6,40,3770496.12,4795250.0,investment property
LL0000897,4521000.0,2015-03-18,30,1.93,3.5260000000000002,20364.45,57,3360226.09,4788500.0,home
LL0000238,4488000.0,2013-09-11,30,2.93,4.526,22809.42,75,2777293.3,4783150.0,investment property
LL0000368,4488000.0,2014-08-06,30,2.49,4.086,21649.51,64,3102431.37,4766700.0,commercial property
LL0000952,4560000.0,2016-08-16,30,1.5746,3.17,19645.74,40,3774170.21,4741650.0,commercial property
LL0000415,4512000.0,2016-02-17,15,1.81,3.1060000000000003,31387.4,46,3068179.5,4702700.0,investment property
LL0001046,4455000.0,2013-04-27,30,1.7,3.2960000000000003,19501.09,80,2894912.61,4697000.0,home
LL0000514,4536000.0,2014-07-23,30,2.48,4.0760000000000005,21852.15,65,3115610.53,4695400.0,home
LL0001592,4368000.0,2012-03-09,30,2.04,3.636,19947.37,93,2512894.21,4690700.0,investment property
LL0001095,4464000.0,2014-10-21,30,2.23,3.826,20866.46,62,3170279.33,4678900.0,commercial property
LL0000449,4521000.0,2015-05-20,30,2.26,3.8560000000000003,21207.73,55,3354574.76,4665350.0,home
LL0001060,4440000.0,2018-04-13,30,2.82,4.416,22275.77,20,3994484.65,4651400.0,home
LL0000861,4389000.0,2012-03-17,15,2.31,3.6060000000000003,31605.16,93,1449720.33,4651300.0,home
LL0001598,4389000.0,2012-06-02,30,1.47,3.0660000000000003,18660.8,90,2709528.44,4647450.0,home
LL0001562,4344000.0,2014-07-25,30,2.48,4.0760000000000005,20929.7,65,2983569.29,4623300.0,commercial property
LL0000545,4392000.0,2014-05-27,30,2.52,4.1160000000000005,21262.86,67,2967388.57,4614250.0,home
LL0000741,4464000.0,2012-11-26,30,1.66,3.2560000000000002,19442.31,85,2811403.38,4593600.0,investment property
LL0001211,4521000.0,2016-06-12,30,1.64,3.236,19638.48,42,3696183.94,4585900.0,investment property
LL0001353,4440000.0,2016-09-04,30,1.6024,3.198,19196.67,39,3691329.78,4560700.0,home
LL0001051,4344000.0,2019-03-02,30,2.76,4.356,21640.3,9,4149237.32,4539250.0,investment property
LL0000610,4536000.0,2019-12-05,30,1.8,3.3960000000000004,20103.74,0,4536000.0,4537350.0,commercial property
LL0001287,4512000.0,2019-01-14,30,2.71,4.306,22341.85,11,4266239.67,4529600.0,commercial property
LL0001563,4257000.0,2015-01-18,30,1.83,3.426,18940.42,59,3139515.18,4527450.0,commercial property
LL0001175,4440000.0,2019-01-10,30,2.74,4.336,22066.25,11,4197271.25,4517800.0,investment property
LL0001309,4422000.0,2018-03-27,30,2.78,4.376,22081.0,21,3958298.95,4514250.0,home
LL0001571,4272000.0,2015-06-25,30,2.4,3.9960000000000004,20385.33,54,3171192.11,4474550.0,home
LL0001364,4257000.0,2018-01-28,30,2.66,4.256,20956.84,23,3774992.75,4472150.0,home
LL0001496,4320000.0,2018-07-01,30,2.85,4.446000000000001,21750.41,18,3928492.54,4467450.0,home
LL0001190,4248000.0,2018-03-16,30,2.85,4.446000000000001,21387.91,21,3798853.95,4460800.0,home
LL0001129,4176000.0,2012-02-16,15,1.99,3.286,29416.57,94,1410842.5,4439800.0,commercial property
LL0000769,4104000.0,2012-02-25,30,1.98,3.576,18603.34,94,2355285.84,4427350.0,home
LL0001673,4416000.0,2019-05-28,15,2.26,3.556,31690.79,7,4194164.44,4426900.0,investment property
LL0000620,4416000.0,2019-11-17,30,1.84,3.4360000000000004,19672.39,1,4396327.61,4418250.0,commercial property
LL0001455,4257000.0,2014-11-01,30,2.35,3.946,20191.27,62,3005141.56,4411350.0,commercial property
LL0000187,4323000.0,2019-01-23,30,2.76,4.356,21535.68,11,4086107.49,4400150.0,home
LL0000107,4158000.0,2013-09-04,15,2.9,4.196000000000001,31166.22,75,1820533.59,4393500.0,investment property
LL0001601,4152000.0,2014-01-22,30,2.87,4.466,20953.78,71,2664281.73,4380500.0,investment property
LL0001227,4344000.0,2018-02-17,30,2.87,4.466,21922.74,22,3861699.73,4378150.0,commercial property
LL0001018,4344000.0,2018-07-24,30,2.95,4.546,22129.3,17,3967801.9,4370300.0,commercial property
LL0001282,4056000.0,2013-05-05,30,1.78,3.3760000000000003,17933.67,79,2639240.27,4357600.0,investment property
LL0001589,4056000.0,2013-05-26,30,2.01,3.6060000000000003,18454.09,79,2598126.66,4356550.0,investment property
LL0000241,4272000.0,2018-10-15,30,3.16,4.756,22300.23,14,3959796.83,4354150.0,commercial property
LL0000427,4290000.0,2019-10-22,30,1.78,3.3760000000000003,18968.3,2,4252063.4,4353550.0,home
LL0000734,4191000.0,2012-01-02,30,1.89,3.486,18786.73,95,2406261.05,4337050.0,home
LL0000663,4224000.0,2014-01-04,30,3.01,4.606,21669.25,71,2685483.46,4333400.0,commercial property
LL0001164,4224000.0,2017-10-05,30,2.3480000000000003,3.944,20029.89,26,3703222.86,4324900.0,investment property
LL0001197,4176000.0,2015-08-06,30,2.23,3.826,19520.24,52,3160947.57,4316450.0,investment property
LL0000745,4125000.0,2014-06-08,30,2.6,4.196000000000001,20162.33,66,2794286.27,4286650.0,investment property
LL0000125,4128000.0,2014-08-22,30,2.4,3.9960000000000004,19698.19,64,2867316.15,4285900.0,commercial property
LL0001208,4080000.0,2012-11-03,30,1.75,3.346,17972.09,85,2552371.94,4270750.0,commercial property
LL0001089,4125000.0,2018-11-10,30,3.19,4.7860000000000005,21607.55,13,3844101.82,4265850.0,investment property
LL0000069,4008000.0,2016-06-13,30,1.62,3.216,17368.37,42,3278528.63,4252850.0,home
LL0000797,3960000.0,2014-10-04,30,2.45,4.046,19010.81,62,2781329.54,4235750.0,home
LL0001229,4032000.0,2015-07-08,30,2.22,3.8160000000000003,18824.14,53,3034320.39,4233900.0,commercial property
LL0000223,4026000.0,2015-06-22,30,2.37,3.966,19141.91,54,2992336.95,4228700.0,home
LL0000456,4032000.0,2012-09-15,30,1.88,3.4760000000000004,18051.51,87,2461518.79,4225200.0,home
LL0000675,4032000.0,2019-10-09,30,1.59,3.1860000000000004,17406.21,2,3997187.59,4216200.0,investment property
LL0000191,3960000.0,2013-07-18,30,2.56,4.156000000000001,19263.52,77,2476708.99,4197900.0,commercial property
LL0001312,4056000.0,2016-07-28,15,1.52,2.8160000000000003,27652.46,41,2922249.25,4178600.0,investment property
LL0001559,4026000.0,2018-09-20,30,3.07,4.666,20798.16,15,3714027.56,4169400.0,commercial property
LL0001466,4104000.0,2016-08-27,30,1.6296,3.2260000000000004,17804.61,40,3391815.79,4165100.0,investment property
LL0000158,3927000.0,2017-02-13,30,2.4358,4.032,18820.62,34,3287098.99,4159600.0,commercial property
LL0000796,4008000.0,2015-12-09,15,2.22,3.516,28683.99,48,2631168.27,4142200.0,commercial property
LL0000231,4032000.0,2017-05-23,30,2.2799,3.8760000000000003,18962.27,31,3444169.77,4139650.0,commercial property
LL0001369,3894000.0,2016-10-07,30,1.7181,3.3139999999999996,17084.01,38,3244807.48,4133050.0,home
LL0000423,4026000.0,2018-01-19,30,2.64,4.236000000000001,19772.52,23,3571232.11,4121600.0,investment property
LL0001241,3816000.0,2013-06-04,30,2.14,3.736,17642.19,78,2439909.19,4116100.0,commercial property
LL0000704,3912000.0,2019-05-20,30,2.41,4.006,18690.02,7,3781169.85,4103300.0,investment property
LL0001416,3960000.0,2018-11-24,30,3.05,4.646,20409.73,13,3694673.57,4100150.0,home
LL0000303,3888000.0,2015-11-05,30,2.26,3.8560000000000003,18240.59,49,2994211.14,4083900.0,investment property
LL0001463,3936000.0,2019-01-26,30,2.76,4.356,19607.78,11,3720314.38,4073000.0,home
LL0000855,3936000.0,2013-01-18,30,1.87,3.466,17599.78,83,2475218.11,4062950.0,investment property
LL0000548,3792000.0,2012-04-26,30,1.98,3.576,17189.05,92,2210607.13,4052300.0,commercial property
LL0001429,3912000.0,2019-02-08,30,2.63,4.226,19189.76,10,3720102.36,4048350.0,commercial property
LL0001201,3894000.0,2018-10-10,30,3.22,4.816,20468.15,14,3607445.96,4036400.0,commercial property
LL0001144,3894000.0,2018-11-28,30,3.06,4.656000000000001,20092.9,13,3632792.26,4033950.0,commercial property
LL0000556,3795000.0,2016-10-12,30,1.7692,3.365,16756.55,38,3158251.05,4033800.0,home
LL0001146,3894000.0,2012-08-11,15,1.65,2.946,26790.23,88,1536459.47,4028950.0,investment property
LL0001716,3792000.0,2013-10-19,15,2.6,3.8960000000000004,27851.75,74,1730970.53,4025250.0,investment property
LL0000188,3744000.0,2015-05-28,30,2.13,3.7260000000000004,17288.1,55,2793154.52,4007950.0,investment property
LL0000699,3762000.0,2016-10-20,30,1.7556,3.352,16583.8,38,3131815.56,4000400.0,commercial property
LL0000846,3828000.0,2014-02-28,30,2.66,4.256,18844.91,70,2508856.47,3994650.0,commercial property
LL0001569,3696000.0,2015-03-17,30,2.06,3.656,16920.21,57,2731548.04,3963550.0,home
LL0000873,3816000.0,2016-03-12,30,1.98,3.576,17297.84,45,3037597.0,3945500.0,investment property
LL0000967,3630000.0,2014-06-05,30,2.59,4.186,17721.67,66,2460369.48,3911800.0,home
LL0000900,3768000.0,2016-04-11,30,1.73,3.326,16556.15,44,3039529.24,3896000.0,commercial property
LL0000203,3696000.0,2019-09-27,30,1.69,3.286,16158.34,3,3647524.97,3880800.0,investment property
LL0000343,3672000.0,2012-02-02,30,1.86,3.4560000000000004,16398.86,94,2130506.74,3876500.0,home
LL0000805,3630000.0,2013-03-16,30,2.01,3.6060000000000003,16515.87,81,2292214.76,3874100.0,home
LL0000330,3600000.0,2012-01-15,30,1.89,3.486,16137.49,95,2066938.63,3865400.0,investment property
LL0001551,3792000.0,2016-01-03,30,2.27,3.866,17811.87,47,2954841.89,3864950.0,home
LL0000856,3624000.0,2016-08-05,15,1.59,2.886,24828.46,40,2630861.52,3806200.0,commercial property
LL0000718,3696000.0,2018-06-17,30,2.93,4.526,18784.23,18,3357883.85,3784150.0,commercial property
LL0000296,3630000.0,2015-10-18,30,2.04,3.636,16577.14,50,2801142.77,3766800.0,investment property
LL0001370,3600000.0,2015-06-26,30,2.49,4.086,17365.92,54,2662240.48,3742500.0,home
LL0000219,3576000.0,2014-06-24,30,2.59,4.186,17458.05,66,2423768.94,3736850.0,commercial property
LL0000375,3663000.0,2019-09-07,30,1.55,3.1460000000000004,15733.28,3,3615800.17,3728800.0,commercial property
LL0001565,3408000.0,2013-09-03,30,2.86,4.457,17180.87,75,2119434.63,3703550.0,commercial property
LL0001316,3663000.0,2018-02-12,30,2.86,4.456,18464.24,22,3256786.69,3697400.0,commercial property
LL0000622,3528000.0,2017-09-14,30,2.1847,3.781,16400.84,27,3085177.33,3689950.0,commercial property
LL0000502,3648000.0,2019-04-17,15,2.59,3.886,26775.89,8,3433792.91,3660950.0,commercial property
LL0000341,3600000.0,2018-04-11,30,2.79,4.386,17997.63,20,3240047.32,3631500.0,investment property
LL0001490,3456000.0,2012-09-22,30,1.77,3.367,15263.54,87,2128071.6,3588850.0,investment property
LL0000115,3288000.0,2012-12-26,30,1.77,3.367,14521.57,84,2068188.37,3536100.0,home
LL0000387,3288000.0,2013-03-10,30,2.06,3.657,15054.25,81,2068605.84,3532400.0,commercial property
LL0001256,3432000.0,2019-05-04,30,2.54,4.137,16657.12,7,3315400.19,3504100.0,commercial property
LL0000399,3360000.0,2012-09-03,30,1.57,3.167,14470.31,87,2101082.96,3493800.0,home
LL0000928,3288000.0,2016-05-09,30,1.77,3.367,14521.57,43,2663572.62,3474600.0,investment property
LL0000135,3216000.0,2017-01-22,30,2.4668,4.064,15472.57,35,2674459.96,3449700.0,commercial property
LL0001380,3264000.0,2013-09-05,30,2.98,4.577,16687.88,75,2012409.25,3439450.0,investment property
LL0000109,3240000.0,2018-12-22,30,2.79,4.387,16199.78,12,3045602.61,3438750.0,home
LL0000695,3288000.0,2013-01-19,30,1.87,3.467,14704.09,83,2067560.7,3414900.0,home
LL0001452,3168000.0,2018-02-19,30,2.8749,4.4719999999999995,15999.13,22,2816019.19,3382050.0,home
LL0000973,3216000.0,2014-03-26,30,2.71,4.3069999999999995,15928.29,69,2116948.18,3381350.0,investment property
LL0001267,3264000.0,2014-01-07,30,2.96,4.5569999999999995,16648.94,71,2081925.43,3373250.0,commercial property
LL0000516,3264000.0,2014-09-02,15,2.42,3.717,23683.14,63,1771962.24,3361350.0,home
LL0001078,3192000.0,2018-02-20,30,2.88,4.477,16129.8,22,2837144.35,3346000.0,investment property
LL0001410,3192000.0,2019-02-16,30,2.66,4.257,15715.8,10,3034841.95,3327950.0,investment property
LL0001534,2976000.0,2012-01-14,30,1.89,3.487,13341.98,95,1708511.59,3301450.0,home
LL0000977,3168000.0,2016-07-28,30,1.52,3.117,13557.15,41,2612156.91,3290600.0,investment property
LL0001616,3216000.0,2016-02-05,30,1.86,3.457,14364.19,46,2555247.07,3287300.0,home
LL0000951,3216000.0,2016-02-28,30,1.76,3.3569999999999998,14185.79,46,2563453.65,3286150.0,commercial property
LL0001511,3048000.0,2014-04-18,30,2.73,4.327,15132.04,68,2019021.0,3272200.0,home
LL0000739,3192000.0,2018-06-19,30,2.89,4.487,16148.75,18,2901322.53,3220050.0,investment property
LL0001356,3072000.0,2013-03-16,30,2.01,3.6069999999999998,13978.79,81,1939717.89,3196100.0,home
LL0000439,3000000.0,2016-04-13,30,1.77,3.367,13249.6,44,2417017.38,3187900.0,investment property
LL0001420,2856000.0,2012-02-12,15,1.96,3.2569999999999997,20077.94,94,968673.83,3180000.0,home
LL0001258,2952000.0,2017-09-03,30,2.1657,3.763,13692.96,27,2582290.15,3174500.0,home
LL0001153,3000000.0,2016-01-25,30,2.03,3.627,13684.92,47,2356808.93,3131850.0,home
LL0001654,3000000.0,2013-02-11,30,1.99,3.5869999999999997,13617.46,82,1883368.69,3125750.0,home
LL0000388,2856000.0,2016-02-09,30,1.74,3.3369999999999997,12566.27,46,2277951.56,3107100.0,home
LL0000737,2856000.0,2018-04-05,30,2.83,4.427,14347.32,20,2569053.64,3067800.0,home
LL0000538,2856000.0,2016-11-24,30,2.3498,3.947,13547.86,37,2354729.19,3032650.0,home
